ID,NAME,DESCRIPTION
1,Шарф,Теплый зимний шарф красного цвета
2,Шапка,Вязаная зеленая шапка
3,Ботинки,Осенние ботинки на толстой подошве
4,Перчатки,Кожаные перчатки с подкладкой
5,Куртка,Зимняя куртка с капюшоном
6,Свитер,Теплый шерстяной свитер
7,Рюкзак,Городской рюкзак для ноутбука
8,Очки,Солнцезащитные очки с поляризацией
9,Часы,Наручные часы с металлическим браслетом
10,Брюки,Классические брюки темного цвета
11,Рубашка,Хлопковая рубашка в клетку
12,Пальто,Стильное шерстяное пальто
13,Кроссовки,Спортивные кроссовки для бега
14,Кеды,Легкие кеды из текстиля
15,Джинсы,Синие джинсы с завышенной талией
16,Платье,Летнее платье с цветочным принтом
17,Юбка,Короткая юбка из денима
18,Ремень,Кожаный ремень с металлической пряжкой
19,Кошелек,Кожаный кошелек на молнии
20,Сумка,Стильная сумка через плечо
21,Носки,Набор носков из хлопка
22,Туфли,Классические туфли из натуральной кожи
23,Сандалии,Летние сандалии на плоской подошве
24,Пижама,Комфортная пижама из флиса
25,Халат,Махровый банный халат
26,Перчатки,Спортивные перчатки для тренировок
27,Шорты,Спортивные шорты для занятий спортом
28,Футболка,Хлопковая футболка с принтом
29,Майка,Базовая белая майка
30,Толстовка,Толстовка с капюшоном и карманами
31,Галстук,Классический галстук в полоску
32,Блузка,Шелковая блузка с рюшами
33,Лосины,Эластичные лосины для фитнеса
34,Термобелье,Комплект термобелья для холодной погоды
35,Бейсболка,Кепка с регулируемым ремешком
36,Варежки,Зимние варежки с меховой подкладкой
37,Плавки,Мужские плавки для бассейна
38,Купальник,Женский купальник раздельный
39,Слитный купальник,Спортивный купальник для плавания
40,Шлепанцы,Резиновые шлепанцы для пляжа
41,Берет,Классический берет из шерсти
42,Парка,Зимняя парка с меховой отделкой
43,Ботфорты,Высокие сапоги на каблуке
44,Термоштаны,Термоштаны для активного отдыха
45,Флис,Флисовая кофта с молнией
46,Гольфы,Высокие гольфы из теплой шерсти
47,Рукавички,Теплые рукавички для детей
48,Шарф-снуд,Вязаный шарф-снуд для зимы
49,Лоферы,Стильные лоферы из замши
50,Поло,Футболка поло с воротником
